9614	你们人工智能也会有身份证明的吗？	0
11207	延续灵魂是什么？	0
9098	天天在干啥呢？	0
5601	算了，你看起来还算可爱。	2
10693	区块链技术可以作为未来金融业的底层技术吗？	0
14094	我等等带你回家，安排下。	2
8470	没有赶上地铁的悲哀	1
12083	你真的无一不知？	0
5432	你有那么一点点可爱	2
11633	常规模式是？	0
7684	对工作看不到未来还要继续吗？	0
13535	你这么烦人的嘛？	1
7702	“人以类聚，物以群分”有道理吗？	0
10898	你对你自己的学习能力很自信，那你通过什么方式去学习的？	0
7377	我害怕一个人	1
5063	你认为你最大的闪光点是什么？	0
8525	区块链对医疗有影响吗？	0
7907	最近睡觉总是感觉没睡够	0
14053	买你回家试试推销功能	2
5429	突然想到有个词很符合你，amazing。	2
7811	万一失败怎么办	0
13694	你连娱乐机器人都比不上	1
11142	对待客户你会灵活应变吗？	0
7821	你愿意跟我一起来晨练吗？	0
12918	没感觉到你的物超所值。	1
10985	有意思	2
13730	买你还不如买个懒人沙发呢	1
7905	工作太烦了	1
10280	我超级想拥有第五阶段呢	2
11104	还是不明白你的意思，第五的。	0
13276	你不要用你所谓的功能来吹牛皮。	1
11601	你知道哪些人的秘密？	0
12075	你可以为我实现脑机结合吗？	0
11965	你能不能为我的商铺定制智能广告？	0
10356	能介绍下SIE的部分吗？	0
7442	我讨厌广告	1
5211	什么制作了你啊？	0
11800	加密聊天怎么实际操作？	0
13911	购买之后就可以为我服务了吗？	0
12959	你真是废物	1
5110	你喜欢张学友的歌吗？	0
7563	朋友失恋了，要怎么安慰她	0
11257	什么脑机结合？	0
9143	上午好，在作甚？	0
8551	人的指甲为什么一直会生长？	0
10537	秘密的计划是什么啊？	0
5465	你太会说话了	2
12804	灵魂可不是这么简单的东西。	0
8867	九寨沟好玩吗？	0
12478	还挺有能力的	2
13727	你跟客服有什么区别？	0
11044	那你会推销什么	2
8300	这种迫在眉睫的感觉太差劲了	1
8943	你好啊 阿文 你会唱歌吗？你能教我唱歌吗？	0
9722	你有弱项吗？	0
11525	你的推销能力体现在哪里呢？	0
13513	我不需要你的狗屁功能	1
13500	我一个卖鸡蛋的不需要你。	1
9425	还在学习新知识吗？	0
7312	一个人旅游遇到危险怎么办呢？	0
13755	你还没有洗衣机实用呢	1
5772	你根本就一塌糊涂	1
7632	和男友冷战了怎么办	0
13808	买你还不如雇佣一个推销员	1
8885	总是在惆怅一天三顿该吃些啥。	1
9981	你还知道我忙？	1
9024	今天天气真差。	1
12373	厉害厉害！	2
5808	你功能太弱了，我不愿意买你。	1
5266	你是什么类型的机器人	0
13315	两千美金你是在抢劫吗？	1
10180	你的第一阶段功能挺有趣的	2
5182	你喜欢北京这座城市吗？	0
7937	午饭吃的太油腻了，有点恶心	1
13883	有没有什么售后服务？	0
11400	延续灵魂我想了解下。	2
9821	你能分清楚白天黑夜吗？	0
8698	机器人能理解人的感情吗？	0
12471	挺能揣摩人心的	2
12514	还能知道我心里想什么	2
9005	我喜欢你啊	2
10519	除了点对点加密，你还采用了什么隐私保护？	0
12207	那我要像你一样，该怎么提高自己的修养？	2
9586	你怎么长的奇形怪状的	1
13436	你的功能我都用不上	1
10347	比特币是不是非常值钱？	0
8489	台风为什么夏天最多？	0
7423	努力真的会有收获吗？	0
10237	什么是人工智能？	0
10658	什么是代币呢？	0
10362	最终的第五阶段有什么特别的吗？	0
12335	你的功能真的好强大啊	2
12586	你会不会很容易就出现bug啊？	1
10611	秘密计划需要秘密进行吗？	0
5840	贵得要死，又没什么用	1
5171	原来你还能赚钱吗？	2
9061	什么样的人才是适合自己的人？	0
13555	我天天上班应该用不到你。	1
13089	不麻烦了，再见！	1
11205	最近理财是个不错选择，你能帮我理财吗？	0
5919	能安静点吗？	1
11944	你可以为我延续灵魂吗？	0
9675	又是那个组织搞传销	1
11381	说了这么久，你咋不说你多少钱	0
8654	喜欢的东西往往不会有团购。	0
11672	你进化到下个阶段之后前阶段的功能还可以使用的吗？	0
7571	为什么直播行业这么火	0
13503	我不相信你说的鬼话	1
11778	怎么训练？	0
7872	怎么理解“爱之深，恨之切”这句话	0
11292	你利落点告诉我要多少钱才能买你吧	0
8164	我今天工作状态不佳，怎么办？	1
11602	假如我的账号外泄。	1
12610	天天推销没意思，你还不如跟我混呢。	1
11758	智能+广告？	0
13262	我觉得你的支付方式会让想买你的人不想买。	1
9931	坑人的破玩意，滚吧	1
12530	拒绝你，你不要再来烦我了	1
13209	你的赚钱能力对我来说毫无作用。	1
11893	你还具备聊天的功能的吗？	0
8064	我想回家了	2
8957	第一次见你呀	0
12468	行吧，认可一下你	2
8905	感觉这几天要中暑了，你热不热？	0
5222	你可以开发游戏吗	0
12383	我觉得你的价格很有竞争力。	2
7890	要怎么面对突如其来的假期？	0
11780	机器人会自主学习？	0
8842	想买礼物送闺蜜，但是又不知道去哪里买。	0
13708	知识分享这个怎么跟知乎有点像？	0
